extent,bandwidth,bufferLoadTime,cpu-value,disk-read,disk-write,fps,latency,memory-value,network-rx,network-tx,networkLatency
1,808.0922218569353,4.580000000016298,6.7999773025512695,0,9830.26171875,347.2222222216608,2761.3450000000303,754925568,19292.330078125,611511.3125,2749.9349999999977
1,997.7505983422825,5.650000000023283,6.7999773025512695,0,9830.26171875,230.14959723968477,2254.9649999999674,754925568,19292.330078125,611511.3125,2226.3949999999604
1,752.9434634370325,4.014999999955762,6.399949550628662,0,17203.4296875,347.2222222216608,2951.8150000000023,766029824,16725.58984375,716344.625,2942.0899999999674
1,890.0304773246926,4.059999999997672,5.300050735473633,0,542312.25,332.77870216254587,2496.9949999999953,765915072,17670.05078125,699111.6875,2487.8649999999907
1,928.3959079263077,5.369999999995343,6.399949550628662,0,17203.4296875,332.2259136202345,2398.4500000000116,766029824,16725.58984375,716344.625,2388.070000000007
1,807.5325977641459,5.434999999997672,6.399949550628662,0,17203.4296875,256.08194622477623,2755.8699999999953,766029824,16725.58984375,716344.625,2744.359999999986
1,739.0585674159018,6.25,6.700035095214844,0,10649.435546875,250,3029.929999999993,765665280,20030.66015625,720994.5,3002.265000000014
1,1053.5326799403495,5.525000000023283,6.700035095214844,0,10649.435546875,346.62045060546683,2115.4749999999767,765665280,20030.66015625,720994.5,2105.2700000000186
1,951.6341050512298,5.235000000044238,6.7999773025512695,0,9830.26171875,331.12582781252723,2343.2449999999953,754925568,19292.330078125,611511.3125,2333.414999999979
1,775.9873072217068,5.589999999967404,6.700035095214844,0,10649.435546875,332.2259136202345,2880.3499999999767,765665280,20030.66015625,720994.5,2860.5
1,896.5599983823959,103.40999999997439,6.699983596801758,0,13107.2158203125,132.275132275173,2534.735000000015,764809216,16767.119140625,671429.875,2421.1199999999953
1,802.987109243925,4.650000000023283,6.699983596801758,0,13107.2158203125,327.33224222660766,2718.945000000007,764809216,16767.119140625,671429.875,2700.654999999999
1,817.3025954169121,4.334999999991851,14.000041007995605,0,687350.8125,253.8071065988348,2654.774999999994,765239296,18727.740234375,740251.6875,2645.2000000000116
1,971.966952851697,4.669999999983702,14.000041007995605,0,687350.8125,349.04013961719045,2231.045000000013,765239296,18727.740234375,740251.6875,2221.850000000006
1,819.3281083791386,5.954999999987194,6.699983596801758,0,13107.2158203125,263.852242743496,2657.904999999999,764809216,16767.119140625,671429.875,2644.164999999979
1,860.0610804119415,5.355000000010477,14.000041007995605,0,687350.8125,232.55813953551333,2527.25,765239296,18727.740234375,740251.6875,2516.3550000000105
1,796.8141370659479,5.084999999991851,4.899965763092041,0,9829.8193359375,316.4556962021819,2710.5899999999965,591663104,18114.419921875,713484.1875,2700.7449999999953
1,700.1069656868473,4.670000000012806,5.699990272521973,0,40961.26171875,353.98230088349703,3079.0899999999965,580300800,20196.9609375,651694.125,3069.9500000000116
1,918.6636116343643,6.695000000006985,4.899965763092041,0,9829.8193359375,240.6738868833406,2376.640000000014,591663104,18114.419921875,713484.1875,2348.109999999986
1,845.0406975984064,5.659999999974389,4.899965763092041,0,9829.8193359375,328.40722496070686,2562.290000000008,591663104,18114.419921875,713484.1875,2549.7000000000116
1,390.66467879583774,12.900000000001455,2.399998903274536,0,19660.80859375,170.35775127760712,2976.385000000002,592384000,1446,0,2954.584999999999
1,409.4741745164629,10.344999999993888,2.399998903274536,0,19660.80859375,280.50490883572144,3158.050000000003,592384000,1446,0,3132.0699999999997
1,510.17854939436904,9.290000000000873,2.399998903274536,0,19660.80859375,314.46540880500265,2729.519999999997,592384000,1446,0,2714.9349999999977
1,816.8565233550305,5.294999999998254,5.29995059967041,0,20479.330078125,172.26528854413377,2244.5599999999977,592793600,16913.69921875,695940.125,2231.1150000000052
